HUC8,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
15030202,387.2784729,353.5753174,313.9456482,308.7672119,255.625061,344.5479126,307.3728943,575.404541,355.050354,367.2106323,393.2039185,387.196106,369.1482239,340.7949829,358.6677246,338.8074646,312.9006348,241.8050995,376.677124,324.4139709,547.7825928,421.2472229,390.7540588,377.0264893,466.2898254,504.0170898,424.8346863,422.3763428,417.0359802,414.4307556,374.9295654,243.2805939,468.840271,435.2666016,521.432373,359.4408264,368.3177185,330.2141418,258.9588318,351.6603394,408.7208862,294.673645,277.3102722,267.824707,155.9766541,315.8865662,460.6842346,367.4450989,229.0639801,319.0089111,335.6263123,241.8894196,356.3096313,277.8763428,394.1790771,349.8422241,303.9032593,441.6105042,354.3448181,270.3831177,341.9476318,453.3227539,211.8265991,347.9857788,331.3467102
15030203,379.7116089,368.1734314,302.2469788,316.2640076,264.9881592,343.5719604,315.6420288,581.6194458,362.4136963,382.0281372,397.9891052,384.391571,377.5648193,325.4581909,360.478241,342.0786133,327.3426208,228.2152863,376.2683411,318.9456482,568.9415283,414.6140747,391.0484009,387.0918274,491.5389709,518.4020386,426.5831299,432.6931763,427.5006714,431.3256836,370.1714783,251.9906158,460.0139771,443.3603516,541.7213135,387.3575439,368.1365662,344.7783508,260.0042114,353.0904541,426.1641235,301.6564026,292.0310059,273.404541,167.4228821,326.813446,454.402771,365.3384094,239.2759552,336.4797363,352.7615051,250.8116608,371.6643066,283.6973877,362.2584229,372.427124,317.2610779,442.6095886,361.1072388,263.4020691,336.8272705,491.8192749,231.4413147,412.0427551,330.9072571
15030204,214.3882141,247.1920319,158.4039764,157.8363647,136.676712,207.7078857,146.6397705,362.4733276,214.5395355,230.9705811,185.6210175,219.0479431,203.632843,169.207016,206.4937897,206.0666809,189.1903534,117.6126862,234.8547821,215.6251068,437.9157715,264.4498901,248.7465363,209.234787,301.0297241,316.6845093,299.1061401,263.0361328,256.2132874,239.1358643,245.2697296,135.9536438,254.1230316,265.9546204,401.7477112,248.5831451,274.2997131,187.5691681,140.9741058,226.3035889,238.9326324,162.3297577,151.0214996,164.6328583,84.39178467,181.7469482,294.3002625,216.6858215,102.9591446,170.4885712,163.9838104,152.3498535,190.5029144,155.6190033,226.3014221,203.9661102,174.3736115,246.3564301,209.1833038,160.1613159,204.8180695,321.0194397,134.1261597,151.8195648,154.1506042
15040007,490.241333,478.8261719,394.3344727,460.1800232,413.9236145,420.3266907,476.735321,512.9282227,462.963623,444.5969849,554.3081665,405.9365234,356.6167603,411.846405,448.9334106,461.4780884,418.8453674,396.131897,403.2618408,455.7109375,673.3729858,481.0413208,493.5721436,453.8641968,622.4399414,763.355896,611.8754272,563.7241821,548.7186279,496.7327271,471.1415405,320.569519,517.5161133,536.8877563,679.4117432,466.171936,506.1432495,414.3335266,408.3402405,406.5158386,471.5456848,371.9920654,469.3981018,436.0822754,271.7173767,396.9117432,482.8809204,386.9957581,415.6105347,433.8013611,493.8688049,349.9483032,473.4882202,443.2229004,372.6833496,442.2746277,413.8395081,625.7295532,479.375824,334.6824951,468.7102356,612.0559082,286.6104736,580.0068359,453.5627441
15060101,591.1833496,506.1889648,418.5675354,490.0275574,494.0385742,461.6144104,534.9158936,530.1529541,493.7506714,482.1902771,551.3016357,491.6543579,387.4929199,450.5686035,498.1155396,456.6091919,440.6545715,488.5596313,443.9197388,547.7822876,555.9364624,483.8703308,517.4724121,503.4146729,589.5574341,758.00354,658.8068237,588.2764893,576.9974976,524.791748,561.5402832,350.7094727,511.6053162,525.9968262,650.6912231,459.5248108,527.380249,427.0166016,481.8489075,482.1565247,556.8100586,484.9478149,454.4474487,505.1844788,422.4116211,436.2496033,483.1907654,403.5188599,494.2976379,468.4862366,555.1550293,375.586731,517.7488403,471.4742126,435.0968628,504.2106018,463.5305481,710.4505005,528.1868286,431.6730652,513.3834839,599.3276978,309.5741577,565.7634888,538.1538696
15060102,588.5267944,521.1039429,415.9369507,495.2151184,475.6496582,467.710083,555.3970337,538.3591309,468.3238525,498.3956299,555.4703369,528.2609863,401.9433594,464.2036438,489.5231018,449.0166016,459.6668091,507.1145325,481.5959778,569.4336548,559.1868896,470.4364319,526.2437134,528.1693115,601.4630127,719.0839233,687.5877686,578.4833374,589.0179443,521.7844849,555.3445435,376.1659851,521.6630249,510.4970093,664.2792969,459.718689,550.1130981,431.1566467,472.305481,492.3861694,546.8967285,490.526062,465.1287537,512.8277588,436.1631165,448.2574768,497.1880188,396.8942566,486.2110596,455.1246338,542.3106689,373.3877869,501.2634583,481.8728027,441.9185181,520.036499,465.773468,721.2051392,542.0396118,418.9613953,512.8128052,591.626709,326.9059143,566.5009155,593.206665
15060103,494.9873962,472.3412781,408.7638855,412.2002563,405.4017944,443.35672,480.7381897,541.8355713,473.4396362,442.4615479,594.4637451,475.8138123,390.8181458,421.310791,444.4179993,456.4664001,453.8919678,424.9649353,455.444458,459.5174866,654.7595825,490.0389099,499.2481995,474.0722656,633.5610352,742.5476685,642.3499756,601.5050659,558.0511475,542.1980591,502.7147217,368.289856,539.5134277,545.4508057,715.1952515,493.1398315,511.5077209,446.1877747,397.8345337,414.6554871,523.5715332,402.4568176,471.4788208,473.422821,267.1262817,438.9867554,494.7331238,387.4266357,417.2108459,394.6799927,527.0753784,361.9578857,490.9361267,439.4729919,392.8496704,492.5788879,421.9421997,653.0980225,496.1960754,349.5889282,481.1888123,606.8024902,318.1139832,557.0119629,483.4814453
15060104,521.9420776,475.8033142,384.6690674,424.9373474,408.2707825,416.9040527,497.3792725,492.8580627,408.4700317,421.7365723,521.3620605,496.6248169,365.3924866,417.3196411,447.1878662,417.9421997,411.6692505,470.8835144,439.719696,502.1016846,555.6552124,460.0936279,495.8921509,478.9969482,594.5945435,663.8845825,643.6588745,559.2973633,540.7809448,510.06604,513.5625,343.4485779,477.2892456,493.5982666,658.9824219,438.0666504,509.9020386,397.4375916,408.6320496,430.3686829,505.986969,437.2498169,451.4518433,461.9048767,339.5673523,413.5295105,472.2286072,365.7160645,422.2770386,382.1817322,483.1590881,324.6538696,453.3035889,429.5491333,392.3939514,482.0119324,417.1018677,665.1014404,485.663269,347.3239746,480.5755615,562.2020874,297.5736389,522.4536133,495.1488037
15060105,508.7990417,461.8337402,421.577301,408.4170837,415.2447205,467.4313049,473.5342102,610.3413086,491.7592468,454.8808289,572.0089722,484.8506165,431.7802734,407.9501648,438.2921448,450.6357117,475.3692932,415.5675049,485.615387,451.3948364,634.8699951,488.7931213,481.2609863,503.9859619,640.1685181,761.6983032,621.4405518,617.0575562,575.2383423,570.9874878,545.9233398,391.8002014,587.9209595,569.0969238,726.618103,510.458374,507.4404602,472.0441895,391.4024658,441.6777954,583.203064,409.0999451,464.2498474,471.5447388,251.4632874,473.3303528,518.6051636,385.2946167,412.9654541,391.8019104,542.1092529,385.4862366,521.9013062,439.3180237,407.2192383,526.0690918,425.6738892,654.9118652,506.1054077,359.8317261,472.616333,605.9492798,343.9749146,625.4274292,508.3305359
15070104,195.5051575,255.4592896,147.2912292,188.0683289,151.5800323,206.4431152,188.2762299,357.1955261,225.1233215,262.8553772,227.4788055,210.309082,219.4557037,163.9428406,209.1517334,190.0043182,205.3645172,124.5038834,247.5018921,215.3249664,439.5613098,248.8518372,234.6077118,194.6705017,321.0527649,322.7889709,328.5590515,273.8609009,244.2226563,257.2135925,230.1713409,146.1397552,251.1104279,269.0922241,396.3587036,274.8039246,261.6980591,195.2554474,141.8011932,218.9017181,251.3431854,165.735611,170.2074127,172.6962891,92.89469147,191.9524536,264.4237061,203.2057953,125.3167038,183.3051605,176.9230042,154.3279877,204.5833588,166.9803162,199.4929657,223.8343658,192.1050873,252.0131378,216.6746979,151.7057343,204.3675842,359.0930481,153.4399567,183.5136719,148.6188354
