HUC8,YEAR,mean_recharge
15010001,2001,19.73415804081558
15010001,2002,0
15010001,2003,6.859619592898485
15010001,2004,51.92101573545269
15010001,2005,68.09717759762742
15010001,2006,59.34795179840968
15010001,2007,13.898120774280834
15010001,2008,45.29293743087146
15010001,2009,20.37898766536837
15010001,2010,53.146919443307986
15010001,2011,8.781838931297123
15010001,2012,0
15010001,2013,37.19098938944693
15010001,2014,0
15010001,2015,19.91094613785109
15010001,2016,47.8318077292566
15010001,2017,37.6121333571521
15010001,2018,26.691638841438323
15010001,2019,42.41196753637361
15010001,2020,0
15010002,1991,3.723750798859564
15010002,1992,45.26625987820357
15010002,1993,97.6217774972707
15010002,1994,0
15010002,1995,23.163711583622757
15010002,1996,0
15010002,1997,0
15010002,1998,37.485729996942844
15010002,1999,0
15010002,2000,27.530740382846357
15010002,2001,20.714409371395927
15010002,2002,0
15010002,2003,14.267485077219572
15010002,2004,21.651794837992263
15010002,2005,66.494266777633
15010002,2006,40.121895315723926
15010002,2007,8.34774251172326
15010002,2008,24.568517161259635
15010002,2009,0
15010002,2010,71.79314756906496
15010002,2011,2.0953617807328957
15010002,2012,0
15010002,2013,35.14735517052353
15010002,2014,0
15010002,2015,3.344949659929332
15010002,2016,67.88545916430598
15010002,2017,34.50009258310094
15010002,2018,0
15010002,2019,7.717214440775441
15010002,2020,0
15010003,1991,4.206522996548481
15010003,1992,61.94703474890086
15010003,1993,90.59321039231351
15010003,1994,0.3685321463544571
15010003,1995,29.39610885273787
15010003,1996,7.50715937924031
15010003,1997,0
15010003,1998,31.032908064348824
15010003,1999,0
15010003,2000,23.297361563982445
15010003,2001,8.398608199309725
15010003,2002,0
15010003,2003,13.822080121702303
15010003,2004,50.94685496806009
15010003,2005,60.916827013202074
15010003,2006,36.034527862241994
15010003,2007,9.539213250403941
15010003,2008,19.263499885496508
15010003,2009,8.045367332800618
15010003,2010,56.12861199260253
15010003,2011,0
15010003,2012,0
15010003,2013,20.958814854699774
15010003,2014,0
15010003,2015,15.6487488920806
15010003,2016,50.06148461990239
15010003,2017,3.291952275742192
15010003,2018,9.095208334424528
15010003,2019,31.619843588838027
15010003,2020,0
15010004,1991,52.50777541614237
15010004,1992,117.16081499109907
15010004,1993,141.4727297699442
15010004,1994,37.45601962747773
15010004,1995,38.968878718232425
15010004,1996,2.414754816883592
15010004,1997,39.2108692788091
15010004,1998,42.74193659856839
15010004,1999,36.77604609377665
15010004,2000,38.80098084439945
15010004,2001,25.25916968077246
15010004,2002,0
15010004,2003,14.508114727479203
15010004,2004,30.566843582508604
15010004,2005,81.92077138024162
15010004,2006,25.32443157233514
15010004,2007,52.35201592170128
15010004,2008,51.9258780046903
15010004,2009,23.85422237440572
15010004,2010,68.37652762034153
15010004,2011,20.869680227254836
15010004,2012,0
15010004,2013,11.922808158622434
15010004,2014,0.08172486515323434
15010004,2015,0
15010004,2016,104.2665559267883
15010004,2017,53.798466345171214
15010004,2018,29.539168509846974
15010004,2019,16.47031055204715
15010004,2020,0
15010005,1991,15.693794682677662
15010005,1992,0
15010005,1993,69.75769623301126
15010005,1994,0
15010005,1995,0
15010005,1996,0
15010005,1997,0
15010005,1998,34.74772651683886
15010005,1999,0
15010005,2000,0.7119257777645618
15010005,2001,44.10395763620201
15010005,2002,0
15010005,2003,4.071565708268221
15010005,2004,3.6050601748530235
15010005,2005,47.17779013676606
15010005,2006,31.297911003487513
15010005,2007,5.232274230137485
15010005,2008,14.769241424758867
15010005,2009,0
15010005,2010,77.90996098712101
15010005,2011,17.701157306816718
15010005,2012,0
15010005,2013,0
15010005,2014,6.660343254787299
15010005,2015,0
15010005,2016,70.75601929209333
15010005,2017,19.65923232936611
15010005,2018,0
15010005,2019,0
15010005,2020,0
15010006,1991,0
15010006,1992,14.155449220549277
15010006,1993,50.83472937680669
15010006,1994,0
15010006,1995,15.759249175289622
15010006,1996,0
15010006,1997,0
15010006,1998,31.22427354435101
15010006,1999,0
